0.74,0.14,-0.26
0.37,-0.41,0.03
1.29,0.54,1.16
0.49,-0.74,-0.85
0.76,-0.11,-0.37
1.05,-0.01,-0.09
1.01,0.02,-0.13
1.15,0.51,-0.24
1.2,0.13,0.2
1.94,-0.68,0.05
0.59,-0.3,0.11
0.34,0.22,0.01
1.6,0.2,0.92
0.42,-0.73,0.58
0.83,-0.44,0.17
0.9,0.23,-0.08
1.02,0.09,-0.01
1.22,0.35,-0.05
1.27,0.28,0.15
1.46,-0.27,0.08
0.62,0.17,-0.07
0.12,-0.02,0.13
2.5,-0.17,1.2
0.36,-0.56,0.54
1.16,-0.05,-0.4
0.9,-0.1,-0.0
0.98,0.07,0.13
1.16,0.6,-0.05
1.19,0.23,-0.15
1.65,-0.47,0.03
0.52,-0.04,-0.1
0.29,-0.23,0.64
0.94,0.21,0.82
0.81,-0.17,-0.34
1.36,-0.0,-0.11
0.82,0.26,-0.04
0.89,0.13,-0.14
1.04,0.78,0.07
1.39,-0.41,-0.06
1.75,0.16,0.31
0.6,0.27,-0.06
0.44,-0.07,0.56
0.93,-0.08,-0.06
0.75,0.13,-0.25
1.09,0.02,0.01
0.97,-0.06,0.1
0.94,-0.04,0.02
1.06,0.07,-0.15
1.08,-0.13,-0.08
